Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
219,Al Horford\horfoal01,C,31,BOS,61,61,31.7,5.2,10.4,.499,1.4,3.2,.429,3.8,7.1,.531,.566,1.1,1.5,.750,1.4,6.1,7.5,4.9,0.6,1.1,1.9,2.0,12.9
220,Danuel House\houseda01,SG,24,PHO,16,0,12.1,1.6,4.2,.373,0.5,1.9,.258,1.1,2.3,.472,.433,1.0,1.2,.842,0.6,1.8,2.3,0.5,0.3,0.1,0.3,0.9,4.6
221,Dwight Howard\howardw01,C,32,CHO,67,67,30.5,6.1,11.0,.555,0.0,0.1,.200,6.1,10.9,.558,.556,3.9,7.0,.561,3.1,9.0,12.1,1.3,0.6,1.7,2.6,3.2,16.1
222,Josh Huestis\huestjo01,PF,26,OKC,63,10,15.1,0.9,2.7,.335,0.5,1.7,.282,0.4,1.0,.429,.425,0.1,0.3,.278,0.6,1.8,2.5,0.3,0.2,0.7,0.4,1.2,2.4
223,R.J. Hunter\hunterj01,SG,24,HOU,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
224,Vince Hunter\huntevi01,PF,23,MEM,4,0,1.8,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.3,0.3,0.0,1.5
225,Serge Ibaka\ibakase01,PF,28,TOR,61,61,27.2,5.0,10.4,.486,1.4,4.0,.349,3.7,6.4,.570,.552,1.3,1.7,.792,1.0,5.1,6.1,0.7,0.3,1.3,1.1,2.7,12.8
226,Andre Iguodala\iguodan01,SF,34,GSW,55,4,25.5,2.2,4.8,.464,0.4,1.7,.250,1.8,3.1,.579,.508,0.9,1.4,.641,0.9,3.0,3.9,3.3,0.9,0.6,1.0,1.6,5.8
227,Ersan Ilyasova\ilyaser01,PF,30,TOT,52,40,25.1,4.0,8.6,.461,1.3,3.6,.358,2.7,5.0,.535,.536,1.5,1.9,.800,1.5,3.9,5.5,1.2,0.9,0.4,1.0,2.2,10.8
228,Joe Ingles\inglejo01,SF,30,UTA,67,66,31.2,4.0,8.5,.466,2.5,5.6,.449,1.4,2.9,.497,.614,0.6,0.8,.824,0.3,3.8,4.1,4.3,1.1,0.2,1.9,2.1,11.1
229,Brandon Ingram\ingrabr01,SF,20,LAL,57,57,33.8,6.1,13.1,.469,0.7,1.8,.380,5.5,11.3,.483,.495,3.3,4.8,.689,1.0,4.4,5.4,3.9,0.8,0.8,2.5,2.8,16.2
